ID,QUESTION,A,B,C,D,answer
1,"Mark the letter A, B, C, or D to indicate the underlined part that needs correction in each of the following questions: 
Most people buy things like cameras and MP3-players online these day.",buy,these days,like,and,these days
2,"Mark the letter A, B, C, or D to indicate the underlined part that needs correction in each of the following questions
If we would have a bigger flat, we could invite friends to come and stay.",would have,flat,could,to come,would have
3,"Mark the letter A, B, C, or D to indicate the underlined part that needs correction in each of the following questions. 
We have to protect the wild animals to maintain ecological balance.",balance,the,have to,to maintain,the
4,"Mark the letter A, B, C, or D to indicate the correct answer to each of the following questions. 
I wish I ________ how to use this DVD player. I really want to play some music right now.",would know,know,knew,had known,knew
1028,Choose the word whose main stressed syllable is placed differently from that of the others in the list,cave,have,behave,pave,have
1029,Choose the word whose underlined part is pronounced differently from that of the others in each group,reCeipt,reCall,reCollect,reCover,reCeipt
1031,Choose the word whose underlined part is pronounced differently from that of the others in each group.,cARd,heARd,heARth,heARt,heARd
2025,"Mark the letter A, B, C, or D on your answer sheet to indicate the word(s) CLOSEST in meaning to the CAPITALIZED word(s) in the following sentence. Thanks to highly technology, scientists have made many important SOPHISTICATED discoveries in different fields.",accessible,confusing,effective,advanced,advanced
2026,"Mark the letter A, B, C, or D on your answer sheet to indicate the word(s) OPPOSITE in meaning to the CAPITALIZED word(s): With price increases on most necessities, many people have to for fear of TIGHTEN THEIR BELT getting into financial difficulties.",dress in loose clothes,spend money freely,save on daily expenses,put on tighter belts,spend money freely
2027,"Mark the letter A, B, C, or D on your answer sheet to indicate the correct answer to the following question: It _________ to reason that Jason passed the exam with flying colours on account of his working hard during the term.",comes,gets,stands,lays,stands
2028,Supply the correct forms of verbs in this sentence: The performance (begin) at 7'o clock and (last) for 3 hours. We all (enjoy) it.,"had begun, lasted, enjoyed","began, lasted, enjoyed","began, has lasted, enjoyed","begun, had lasted, enjoyed","began, lasted, enjoyed"
2032,Supply the correct forms of verbs in this sentence: The audience burst into ________ at the end of the play (APPLAUD),applause,applauded,applauds,applaud,applause
2034,"Mary rarely uses social networks,......?",isn't she,does she,doesn't she,is she,doesn't she
